DialogNum	DialogAndTalkerKo
10100	냐앙~ (반갑다는 듯 달려와 다리에 몸을 비빈다.):애옹
10101	오랜만이네. 오늘도 여기 있었구나. (조용히 무릎을 굽혀 쓰다듬는다.):나
10102	그릉그릉...:애옹
10103	(까뒤집은 배를 장난스럽게 흔들어 쓰다듬는다.):나
10104	냐아아앙-- (기분 좋은 울음소리를 낸다.):애옹
10105	(흐뭇하게 바라보며):나
10106	...... 이제는 자주 나올게 (옅은 미소를 띄며):나
10107	액!옹!... (눈을 반쯤 감고 고개를 갸웃한다.):애옹
10108	(웃으며)  믿을 수 없다는 표정인데.:나
10109	이젠 정말이야 자주 올게. (머리를 쓰다듬으며):나
20100	액!옹!:애옹
20101	냐아아앙:애옹
20102	(꼬리로 발목을 휘감아 온다.):애옹
20103	.... 약속 지키러 나왔어. 그동안 못 보러와서 미안했었어.....:나
20104	한 달 동안 못 봤는데도 반겨줘서 고맙다. (여느 때와 같이 무릎을 굽혀 쓰다듬는다.):나
20105	....  지금 좀... 힘겨워서. (슬픈 미소를 띠며):나
20106	그릉그르릉...:애옹
20107	(여느때와 같이 기분 좋은 울음소리를 낸다.):애옹
20108	그르릉... (빤히 올려다보며) 냐앙- :애옹
20109	.... 애옹이 너 덕분에 기운이 난다. 고마워.:나
30100	냐아~ (몸을 비틀며 주위를 맴돈다.):애옹
30101	오늘도 왔어. 기다렸지?:나
30102	(바닥에 털썩 앉는다.) 자 물이라도 마셔.:나
30103	애옹 - (고양이가 무릎 위에 올라와 눕는다.):애옹
30104	...(미소를 지으며) 네가 이러면 진짜 키우고 싶어진다고.:나
30105	냐옹! (장난스럽게 앞발로 주인공의 손을 툭 친다.):애옹
30106	너 참 특이해. 항상 이렇게 마음을 녹여주잖아.:애옹
30107	(몸을 웅크리고 자리를 잡는다.):애옹
30108	넌 참 마음이 편해 보이는구나... 나도 좀 배우고 싶네.:나
30109	(주인공 쪽으로 획 고개를 돌린다.) 냐아-!:애옹
30110	그래 그래, 너도 힘들었겠지. 내가 미안해. (얕게 웃으며):나
30111	(기지개를 켜며 편안히 눈을 스르르 감는다.):애옹
30112	좋겠다. 나도 저렇게 잠들 수 있으면 좋겠어.:나
30113	.... 근데 가야 하는데.... 어떻게 일어나지:나
30114	뭐 백수인데, 조금만 더 있자.:나
30115	(15분이 지나고...):나
30116	냐아아앙- (하품을 크게 내뱉는다.):애옹
30117	잘 잤어?:나
30118	애 오 옹~ (품에서 폴짝 내려온다.):애옹
30119	귀여워라.:나
30120	다음에 또 올게!:나
30121	냐아앙... (바닥에 몸을 눕히고 눈을 감는다.):애옹
40100	냐앙....:애옹
40101	....?:나
40102	(약간 축 처진 꼬리가 다리를 감아온다.):애옹
40103	.... 어...? 어디 아픈가..?:나
40104	액...옹... (꼬르륵 소리가 난다.):애옹
40105	아.... ....! 배가 고파서 기운이 없구나... 후 놀랐잖아.:나
40106	(기다리라는 듯 냥이의 머리를 톡톡 두드린다.) 갔다 올게:나
40107	'편의점에 가야겠다.':나
40108	(고양이 전용 참치와 물을 사 오자.):나
10200	(시선이 느껴진다.):아저씨
20200	(시선이 느껴진다.):아저씨
20201	(아저씨와 짧게 눈이 마주쳤다.):나
30200	(깊은 시선이 느껴진다.):아저씨
30201	(대놓고 뚫어져라 보고 계신다.):아저씨
30202	아는 분이였나....?':나
	
	
	
	
	
	
	
	
	
	
	
	
40200	(지긋이-):아저씨
40201	거기...!:아저씨
40202	...:나
40203	청년!.......!:아저씨
40204	... ...:나
40205	거기! 자네.......!:아저씨
40206	......네?:나
40207	그!... 그.. 보니 ....!:아저씨
40208	근래... 한 달 동안 축 처져서 왔다 갔다 하던데...:아저씨
40209	무슨 사정이 있는가..?:아저씨
40210	아... 아닙니다... (멋쩍은 미소를 지으며):나
40211	(가벼운 목례를 하며 다시 뒤돌아 간다.):나
40212	'아이고... 젊어 보이는 청년이... 안색이... 창백하네...':아저씨
40213	(마시던 안주와 맥주를 홀짝이며....):아저씨
50200	(지긋이-):아저씨
50201	(지그으으읏이-):아저씨
50202	(강렬한 시선이 느껴진다.):나
50203	자네...!:아저씨
50204	.... 네?:나
50205	그 큼큼! 음료수 하나 골라보게나:아저씨
50206	내가 하나 사줄게:아저씨
50207	아... 아뇨 감사하지만 괜찮습니다.:나
50208	아니 이 아저씨가 사준 데도! 그냥 받어!:아저씨
50209	음료수 하나 고르고 고맙습니다. 한마디 하면 될걸, 뭘 그렇게 어렵게 사는가:아저씨
50210	아... 정말 감사하지만 괜찮습니다.:나
